iter,region,occupy,predict
12,29,0, {0 1 2 3 4}
12,30,0, {0 1 2 3 4}
12,31,0, {0 1 2 3 4}
12,32,0, {0 1 2 3 4}
12,33,0, {0 1 2 3 4}
12,34,0, {0 1 2 3 4}
12,35,0, {0 1 2 3 4}
12,36,0, {0 1 2 3 4}
12,37,0, {0 1 2 3 4}
12,38,0, {0 1 2 3 4}
12,39,0, {0 1 2 3 4}
12,40,0, {0 1 2 3 4}
12,41,0, {0 1 2 3 4}
12,42,0, {0 1 2 3 4}
12,43,0, {0 1 2 3 4}
12,44,0, {0 1 2 3 4}
12,45,0, {0 1 2 3 4}
12,46,0, {0 1 2 3 4}
12,47,0, {0 1 2 3 4}
13,0,0, {0 1 2 3 4}
13,1,1, {2}
13,2,1, {4}
13,3,1, {2}
13,4,1, {0}
13,5,1, {3}
13,6,1, {3}
13,7,1, {2}
13,8,1, {1}
13,9,1, {0}
13,10,1, {2}
13,11,1, {4}
13,12,1, {1}
13,13,1, {1}
13,14,1, {2}
13,15,1, {1}
13,16,0, {0 1 2 3 4}
13,17,0, {0 1 2 3 4}
13,18,0, {0 1 2 3 4}
13,19,0, {0 1 2 3 4}
13,20,0, {0 1 2 3 4}
13,21,0, {0 1 2 3 4}
13,22,0, {0 1 2 3 4}
13,23,0, {0 1 2 3 4}
13,24,0, {0 1 2 3 4}
13,25,0, {0 1 2 3 4}
13,26,0, {0 1 2 3 4}
13,27,0, {0 1 2 3 4}
13,28,0, {0 1 2 3 4}
13,29,0, {0 1 2 3 4}
13,30,0, {0 1 2 3 4}
13,31,0, {0 1 2 3 4}
13,32,0, {0 1 2 3 4}
13,33,0, {0 1 2 3 4}
13,34,0, {0 1 2 3 4}
13,35,0, {0 1 2 3 4}
13,36,0, {0 1 2 3 4}
13,37,0, {0 1 2 3 4}
13,38,0, {0 1 2 3 4}
13,39,0, {0 1 2 3 4}
13,40,0, {0 1 2 3 4}
13,41,0, {0 1 2 3 4}
13,42,0, {0 1 2 3 4}
13,43,0, {0 1 2 3 4}
13,44,0, {0 1 2 3 4}
13,45,0, {0 1 2 3 4}
13,46,0, {0 1 2 3 4}
13,47,0, {0 1 2 3 4}
14,0,0, {0 1 2 3 4}
14,1,1, {2}
14,2,1, {4}
14,3,1, {2}
14,4,1, {0}
14,5,1, {3}
14,6,1, {3}
14,7,1, {2}
14,8,1, {1}
14,9,1, {0}
14,10,1, {2}
14,11,1, {4}
14,12,1, {1}
14,13,1, {1}
14,14,1, {2}
14,15,1, {1}
14,16,0, {0 1 2 3 4}
14,17,0, {0 1 2 3 4}
14,18,0, {0 1 2 3 4}
14,19,0, {0 1 2 3 4}
14,20,0, {0 1 2 3 4}
14,21,0, {0 1 2 3 4}
14,22,0, {0 1 2 3 4}
14,23,0, {0 1 2 3 4}
14,24,0, {0 1 2 3 4}
14,25,0, {0 1 2 3 4}
14,26,0, {0 1 2 3 4}
14,27,0, {0 1 2 3 4}
14,28,0, {0 1 2 3 4}
14,29,0, {0 1 2 3 4}
14,30,0, {0 1 2 3 4}
14,31,0, {0 1 2 3 4}
14,32,0, {0 1 2 3 4}
14,33,0, {0 1 2 3 4}
14,34,0, {0 1 2 3 4}
14,35,0, {0 1 2 3 4}
14,36,0, {0 1 2 3 4}
14,37,0, {0 1 2 3 4}
14,38,0, {0 1 2 3 4}
14,39,0, {0 1 2 3 4}
14,40,0, {0 1 2 3 4}
14,41,0, {0 1 2 3 4}
14,42,0, {0 1 2 3 4}
14,43,0, {0 1 2 3 4}
14,44,0, {0 1 2 3 4}
14,45,0, {0 1 2 3 4}
14,46,0, {0 1 2 3 4}
14,47,0, {0 1 2 3 4}
15,0,0, {0 1 2 3 4}
15,1,1, {2}
15,2,1, {4}
15,3,1, {2}
15,4,1, {0}
15,5,1, {3}
15,6,1, {3}
15,7,1, {2}
15,8,1, {1}
15,9,1, {0}
15,10,1, {2}
15,11,1, {4}
15,12,1, {1}
15,13,1, {1}
15,14,1, {2}
15,15,1, {1}
15,16,0, {0 1 2 3 4}
15,17,0, {0 1 2 3 4}
15,18,0, {0 1 2 3 4}
15,19,0, {0 1 2 3 4}
15,20,0, {0 1 2 3 4}
15,21,0, {0 1 2 3 4}
15,22,0, {0 1 2 3 4}
15,23,0, {0 1 2 3 4}
15,24,0, {0 1 2 3 4}
15,25,0, {0 1 2 3 4}
15,26,0, {0 1 2 3 4}
15,27,0, {0 1 2 3 4}
15,28,0, {0 1 2 3 4}
15,29,0, {0 1 2 3 4}
15,30,0, {0 1 2 3 4}
15,31,0, {0 1 2 3 4}
15,32,0, {0 1 2 3 4}
15,33,0, {0 1 2 3 4}
15,34,0, {0 1 2 3 4}
15,35,0, {0 1 2 3 4}
15,36,0, {0 1 2 3 4}
15,37,0, {0 1 2 3 4}
15,38,0, {0 1 2 3 4}
15,39,0, {0 1 2 3 4}
15,40,0, {0 1 2 3 4}
15,41,0, {0 1 2 3 4}
15,42,0, {0 1 2 3 4}
15,43,0, {0 1 2 3 4}
15,44,0, {0 1 2 3 4}
15,45,0, {0 1 2 3 4}
15,46,0, {0 1 2 3 4}
15,47,0, {0 1 2 3 4}
